"Review: Google's new Pixel Buds are great if you use Android and want something like Apple's AirPods, @robotodd says. https://t.co/XUvl6BLosr",1256865891721138178,
"Today, Nintendo is part of a crowded video game market and competes with Sony, Microsoft, Apple and Google. But the company has been around for 130 years, so how has it been able to stay relevant for so long? https://t.co/gE3QGmdGyg https://t.co/wlrM7heS0l",1256766426347646976,
CDC criteria for digital contact tracing opens door for Apple-Google approach https://t.co/HrBU9qfNC9,1256333433829117952,
"Facebook, Google and Snap have found their knight in shining armor as ad spending craters https://t.co/DV9d24UYBB",1256225711544770566,
"RT @SquawkCNBC: “The fact of the matter is, just like we didn’t like Microsoft dominating everything or Google dominating search. You can g…",1256179997867474945,
UK government invited Google DeepMind exec to critical coronavirus meeting https://t.co/TKPd7SVxQ3,1256178635037433859,
Schiff to Google and Twitter: Please be more like Facebook when it comes to coronavirus misinformation https://t.co/F7PubIYzwN,1255937188107292675,
German travel start-ups ask Google to wait for ad payments https://t.co/RZr5LvKcGG,1255842583961571328,
Zoom's choice of Oracle cloud looks smart after Microsoft and Google's aggressive moves in video https://t.co/JSK1wYdf4B,1255824476610220033,
"RT @kifleswing: Apple and Google released a beta version of their coronavirus tracing/exposure notification software on Wednesday. 

Beta b…",1255543059821068288,
Apple and Google release test version of coronavirus tracing software https://t.co/PtqgQSaRJI,1255542715900723202,
"RT @chrissyfarr: For weeks, I've been working on this inside look at how Apple and Google - historic rivals - came together for the contact…",1255213681463504900,
How a handful of Apple and Google employees came together to help health officials trace coronavirus https://t.co/EfWj0yWvrx,1255212535814467586,
Google CEO tells employees return to office won't happen until at least June 1 https://t.co/bJQh6Ish1G,1255199444267565056,
"Zoom taps Oracle for cloud deal, bypassing major industry leaders Amazon Web Services, Alphabet’s Google Cloud Platform and Microsoft’s Azure Cloud. https://t.co/UzYgCIF0nU",1255161060455317508,
Google is set to take a hit as travel websites slash online ad spending. https://t.co/HXDuiOVSzF,1255157229914914817,
Google set to take a hit as travel websites slash online ad spending https://t.co/05SiuXda7O,1255101358723694597,
From banana bread to lasagna: Theese are the top 10 most-googled recipes while people are self-quarantining. (via @CNBCMakeIt) https://t.co/7WUDnzmzCt,1254940419399483394,
"Review: Google's new Pixel Buds are great if you use Android and want something like Apple's AirPods, @robotodd says. https://t.co/qj8ayytqPi",1254847056788754433,
Google's new Pixel Buds are great if you use Android and want something like Apple's AirPods https://t.co/mA3tBI38SC,1254803203637608448,
Germany will use Apple and Google's coronavirus contact tracing solution https://t.co/oUPoR0gvaA,1254796195278589954,
"RT @SquawkCNBC: “These two companies, Google and Facebook, probably have as good of a read into consumer mindsets as any other companies in…",1254753595058249728,
"Here’s the breakdown of Big Tech's Q1 lobbying spend: 
-Facebook: $5.3 million, up 19% from last quarter
-Amazon: $4.3 million, up 3%
-Microsoft: $2.4 million, up 0.2%
-Apple: $2.2 million, up 18%
-Google: $1.8 million, down 34% https://t.co/qXh6Aoy8Gw",1254275312466169857,
"Google will soon require all advertisers to verify their identity, the company said. https://t.co/h2B10LPojU",1254262759736446978,
"Today, Nintendo is part of a crowded video game market and competes with Sony, Microsoft, Apple and Google. But the company has been around for 130 years, so how has it been able to stay relevant for so long? https://t.co/gE3QGlW59G https://t.co/rxFnhFMqkM",1254077711108079619,
"Google, Facebook, Twitter team up to support addiction recovery during pandemic https://t.co/fb4YCpzvYO",1254052114503995393,
"Google just donated 49,000 face shields, designed and developed by its engineers, to Bay Area hospitals. https://t.co/uqDtvnaiKL https://t.co/jsdN50rBsp",1253862289960132608,
Apple and Google are tweaking plans for tech to help officials track coronavirus exposure https://t.co/TUnJaclopl,1253729801636020224,
"Google just donated 49,000 face shields, designed and developed by its engineers, to Bay Area hospitals. https://t.co/uqDtvnrU9l https://t.co/26fYzu3zpe",1253717486475902981,
"Google shares now down 2% after hours on news of marketing budget cuts, hiring freezes. https://t.co/BfKNWU2HLw",1253443303560839168,
RT @jenn_elias: SCOOP: Google is cutting marketing budgets by as much as 50% for the rest of the year. Directors were also told cuts &amp; hiri…,1253439870049177600,
"RT @CNBCnow: BREAKING: Google to cut marketing budgets as much as half, directors warned of hiring freezes

https://t.co/SRub5pQMj0",1253437256712335366,
"Google to cut marketing budgets by as much as half, directors warned of hiring freezes https://t.co/5TjZc2zLV3",1253437153528274944,
"Google will soon require all advertisers to verify their identity, the company said today. https://t.co/zijdWkbovD",1253334524399742976,
Google to require all advertisers to pass identity verification process https://t.co/VanLZ5ec9Z,1253308156077375488,
"Here’s the breakdown of Big Tech's Q1 lobbying spend: 
-Facebook: $5.3 million, up 19% from last quarter
-Amazon: $4.3 million, up 3%
-Microsoft: $2.4 million, up 0.2%
-Apple: $2.2 million, up 18%
-Google: $1.8 million, down 34% https://t.co/RMuzHV4VGn",1252972425156923392,
Facebook and Amazon lead Big Tech lobbying in the first quarter while Google scales down https://t.co/Mzf6K6jUlq,1252951322162335744,
"Apple, Google CEOs should be held personally liable for protecting contact tracing data, says Hawley https://t.co/uk0tMIilFu",1252659375715627008,
Google wanted to partner with delivery companies to compete with Amazon https://t.co/QnjzupDUoQ,1252634916770250752,
"Today, Nintendo is part of a crowded video game market and competes with Sony, Microsoft, Apple and Google. But the company has been around for 130 years, so how has it been able to stay relevant for so long? https://t.co/gE3QGmdGyg https://t.co/ffbj36mQM9",1252479176206147585,
"RT @jenn_elias: As Google positions itself as the technical backbone for coronavirus relief, it faces old issues of trust, which is problem…",1252339344209133576,
"As Google becomes key infrastructure for new coronavirus relief, old issues haunt it https://t.co/OEz2T8Uaxs",1252330789427167235,
