"@Tesla get your ceo and your car together, I can’t even play music from my phone in this dumb Tesla and it won’t update my Spotify playlist. My god. Stupid cars and stupid bosses",1256947280390881282,
@Tesla I have an underground housing and food production idea. That’s outside the box but simple cheap and can grow trees on the same space to soak up the carbon. Willing to share if it can be made real.,1256920424291667968,
@tesla @elonmusk: wondering if it’s possible to have sentry mode notify owner (via the app) if triggered?,1256918571222884352,
@Tesla what timeframe do you think it will be before an improvement in the quality control of paint and panel fitting on new Tesla. #ModelY,1256897911603920896,
"@Tesla battery day. Will they announce V2G (vehicle to grid) battery upgrades? 

Acc to Teslas partner in UK @octopus_energy 10 Nissan Leaf (40kWh battery) could power 1000 homes for 1 hour.

The impact on grids with a network of big batteries available to help is BIG!",1256879949774020610,
@Tesla can a customer reserve more than one roadster?,1256855984074633217,
"@Tesla doesn’t believe in #lidar technology &amp; tags it ‘useless’. I did some prelim #research &amp; found that almost all OEMs disagree with @elonmusk (except maybe #nissan). Other OEMs are using a combo of sensor tech (lidar, radar, camera). But #tesla can’t be ignored. #SelfDriving",1256849410736046080,
"@Tesla I tried to build order bare minimum Tesla Model S with autopilot, and it came out to be 100K, so the question is, is it that car worth 100K? What all are these Tesla drivers smoking? Get financially stress to ease the environment?",1256837128958341120,
"@Tesla  boss @elonmusk wiped $14bn off the carmaker's value after tweeting its share price was too high.
It also knocked $3bn off Mr Musk's own stake in Tesla as investors promptly bailed out of the company.
#Tesla #ElonMusk",1256834428753580033,
@Tesla I keep getting this image in my head of a 3 seater small SUV based on Cybertruck design. Driver in middle so works in all countries. Can replace small van or off road style family car. AV looks fashion car. No paint job needed. Cheap basic and functional.,1256820664511717376,
"@Tesla @elonmusk I would LOVE a Tesla motorcycle or as @InternetTodayTV mentioned, a Tesla RV",1256819320174206979,
@Tesla @GetVidBot,1256792947074502661,
@Tesla @GetVidBot do your tin mate.,1256790162199150594,
"@Tesla first issue, misaligned panels",1256784914155843585,
