Now all @Apple has to do is get swype on the iphone and it will be crack. Iphone that is,positive,apple
,,
Hilarious @youtube video - guy does a duet with @apple 's Siri. Pretty much sums up the love affair! http://t.co/8ExbnQjY,positive,apple
,,
@RIM you made it too easy for me to switch to @Apple iPhone. See ya!,positive,apple
,,
The 16 strangest things Siri has said so far. I am SOOO glad that @Apple gave Siri a sense of humor! http://t.co/TWAeUDBp via @HappyPlace,positive,apple
,,
Great up close & personal event @Apple tonight in Regent St store!,positive,apple
,,
From which companies do you experience the best customer service aside from @zappos and @apple?,positive,apple
,,
Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,positive,apple
,,
"RT @PhillipRowntree: Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,
Wow. Great deals on refurbed #iPad (first gen) models. RT: Apple offers great deals on refurbished 1st-gen iPads http://t.co/ukWOKBGd @Apple,positive,apple
,,
"Just registered as an @apple developer... Here's hoping I can actually do it... Any help, greatly appreciated!",positive,apple
,,
"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,apple
,,
@DailyDealChat @apple Thanks!!,positive,apple
,,
iPads Replace Bound Playbooks on Some N.F.L. Teams http://t.co/2UXAWKwf @apple @nytimes,positive,apple
,,
@apple @siri is efffing amazing!!,positive,apple
,,
"RT @TripLingo: We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,
"We're one of a few ""Featured Education Apps"" on the @Apple **Website** today, sweet! http://t.co/0yWvbe1Z",positive,apple
,,
We did an unexpected workshop for the #iPhone4S at @apple yesterday and we got an awesome amount of info #notjustaboutthephone @gamerchik16,positive,apple
,,
---» RT @Apple No question bro. RT @AintEeenTrippin: Should I get dis iPhone or a EVO 3D?,positive,apple
,,
@Twitter CEO points to @Apple as 'corporate mentor' as @iOS signups triple http://t.co/GCY8iphN,positive,apple
,,
At the bus with my iPhone ;) thxx @apple,positive,apple
,,
"@azee1v1 @apple @umber AppStore is well done, so is iTunes on the mobile devices.  I was talking about desktop app.",positive,apple
,,
NYTimes: Coach Wants to See You. And Bring Your iPad. http://t.co/J2FTiEnG #iPad @apple set red 42 red 42 hut hut @NFL wish I had an #iPad,positive,apple
,,
@apple @jilive @DanielPink: Apple sells 4 million iPhone 4S units in first weekend ... Steve Jobs brilliance lives on for ever! #iphone #RVA,positive,apple
,,
@bkad5161 than apologize to @apple ;),positive,apple
,,
"Lmfao look at the argument I had with Siri !!
@ijustine @apple http://t.co/D4VjL7SI",positive,apple
,,
Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,positive,apple
,,
Well @apple fixed my #ios5 battery drain problem with a replacement iPhone 4 -- it's working like a champ now,positive,apple
,,
Currently ordering a BRAND NEW MACBOOK PRO!!! Bahhh... my MacBook is 5 years old. I'll miss it. But it's time. cc: @Apple -,positive,apple
,,
"#Siri now knows who my dad, mom, brother and girlfriend is.  Thanks @apple",positive,apple
,,
Well at least the @apple store has amazing call waiting music! #need4s,positive,apple
,,
#sweet... #apple replaced my glass #probono. thank you @apple,positive,apple
,,
Not Bad! @Apple Sells Over 4 Million #IPhones in Debut Weekend - Bloomberg http://t.co/AVSl3ygU - #smartphone #sm RT @VinodRad,positive,apple
,,
"loving new technology from @apple iPhone 4s, mac air and iCloud are unreal #technology",positive,apple
,,
I'm loving this new IOS5 update :) @apple,positive,apple
,,
Another mention for Apple Store: http://t.co/fiIOApKt - RT @floridamike Once again getting great customer service from the @apple store ...,positive,apple
,,
Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,positive,apple
,,
hey @apple I hate my computer i need a #mack wanna send me a free one.,positive,apple
,,
#iCloud set up was flawless and works like a champ! To the Cloud @Apple,positive,apple
,,
@Wisconsin_Mommy @Apple I'd totally email the company... I always get great service at our @Apple store!,positive,apple
,,
@apple loving the new IOS5 upgrade for the iPhone!,positive,apple
,,
Once again getting great customer service from the @apple store at millenia mall.,positive,apple
,,
Is it just me or is #iOS5 faster for the iPad? @apple,positive,apple
,,
making the switch from @Android to @Apple #iphone #iphone4S #smartphone #stevejobs (@ Apple Store) http://t.co/kj6pJvkH,positive,apple
,,
So THANKFUL for the incredible people @apple for going above and beyond and offering to and replacing my  water-damaged Macbook Pro!!! Wow!,positive,apple
,,
Play on ma man. Loving the camera in the #iphone4s. Well done @apple  #fb http://t.co/tmdFqRe1,positive,apple
,,
So yeah... @apple #iOS5 #readinglists have changed my life. #nowicanspendevenmoretimeonmyphone.,positive,apple
,,
@Apple Safari Reader owns the worldwide web,positive,apple
,,
I love @apple service . My case has cracked 3x and I go in and they hand me a case and I walk out,positive,apple
,,
Said to have laid out the next 4 years @apple.Jobs last iPhone is 2012 not the iPhone4S. iPhone(4G/5) 2012 is magical! http://t.co/DxxklUBp,positive,apple
,,
"Kind of excited. On my way to my last class right now and then going to the @Apple store, so buy #MacOSC Snow Leopard and Lion :-)",positive,apple
,,
i used to be with @blackberry over 4-5yrs .. after all the disruptions and lost gigs thx to their service im moving to @apple #iphone,positive,apple
,,
"Apple sells 4 million iPhones in 3 days @apple keep doing what you are doing, because you are doing it well! http://t.co/ZZc6bE0w",positive,apple
,,
"4 millions in a weekend, 16 #iPhone4S per second. This is madness?! no, this is @Apple !!!",positive,apple
,,
.@apple you got me. I'm now invested. MacBook Pro next year. Time to get on selling more of my #android gear,positive,apple
,,
I just sent my grandma a post card using my #CardsApp thanks @Apple,positive,apple
,,
"@KostaTsetsekas @apple Putting it in the wash is kind of the equivalent to ""Will it blend?"" Glad to hear it's still alive.",positive,apple
,,
"God Bless @YouTube, @apple for  #appletv & our bad ass system. LOVING #PrincessOfChina. GB to @coldplay & @rihanna too :)",positive,apple
,,
Been off twitter for a few days as I smashed my iPhone but @apple were very nice and gave me a new one :),positive,apple
,,
Thank you @Apple iOS 5 for email pop up on the lock screen and opening it when unlocking.,positive,apple
,,
One word - #wow. RT @jldavid iPhone 4S First Weekend Sales Top Four Million: http://t.co/Zx5Pw0GT (via @apple),positive,apple
,,
RT @MN2NOVA: Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,positive,apple
,,
Love ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! #ios5 @apple,positive,apple
,,
Love #ios5 Easter eggs. Pull down from middle top to bottom and see what pulls down. Awesome little feature! @apple #lovemyiphone,positive,apple
,,
"Gone for a run, beautiful morning , man do I love iOS 5 @apple, #iPhone",positive,apple
,,
@apple your simply the best.,positive,apple
,,
I must admit @apple has made me a very happy camper! I have text tones now! Lol! Ring tone: #MakeMeProud Drakes vers! Text tone: Nicki's,positive,apple
,,
"Day305, I'm thankful for the great customer service received today from @Apple via phone CS, new phone on the way #365daysofgratefulness",positive,apple
,,
Loving the new iPod update @apple,positive,apple
,,
@alexlindsay My wife upgraded her iPhone 4. I think Siri alone is worth the upgrade. Looking forward to @Apple continuing to enhance Siri.,positive,apple
,,
@SteveJobs being honored tonite @Apple...A truly great loss to the world.He will so be missed,positive,apple
,,
Thx @instagram Thx @apple #hypo #D-76 #tri-x http://t.co/D7EeJHBT,positive,apple
,,
Loving my new #iPhone4S thanks @apple for #ios5,positive,apple
,,
@apple the iPhone 4s is great #genius,positive,apple
,,
@apple Siri is amazing,positive,apple
,,
"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple",positive,apple
,,
"So, I am using my work PC (NEVER EVER) to get a feel for it; it has the worst speakers ever!! @apple you have spoiled me!! #imamac",positive,apple
,,
@apple just got the new iOS5 upgrade with iMessage...good luck surviving now @BlackBerry,positive,apple
,,
Loving #iOS5 !! #awesome @Apple,positive,apple
,,
"RT @MattyRiesz: @kathrynyee You were right, an iPhone is a must have. #addicted {WELCOME TO THE @APPLE CLUB}",positive,apple
,,
@blackberry boo hiss!............@apple wuhu!!!!!!!! When will my berry powered technology actually work??,positive,apple
,,
@Apple's Siri is witchcraft.  What's next @googleresearch. 2 yr lead lost?,positive,apple
,,
"@Apple iOS 5 is sweet! Notifications, phone search covers mail now, wifi sync, iCloud backup and integrated Twitter are all well done.",positive,apple
,,
RT @katebetts: Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t. ...,positive,apple
,,
Another great James Stewart story in today's NY Times about importance of architecture in @apple retail success http://t.co/Kniz452s,positive,apple
,,
Welcome to the twitter world @MarkStuver. This is due to #iOS5 and @apple thanks guys.,positive,apple
,,
Impressive service @apple genius bar metro centre. Power cable replaced free n booked in for screen replacement for free :- D,positive,apple
,,
RT @deb_lavoy: the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,positive,apple
,,
the nice guy at the @apple store replaced my phone gratis when I showed him the hairline  crack on the screen. thanks @apple,positive,apple
,,
"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",positive,apple
,,
It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!,positive,apple
,,
RT @herahussain: @RickySinghPT got a new backside for my eye phone! V impressed with @apple,positive,apple
,,
@RickySinghPT got a new backside for my eye phone! V impressed with @apple,positive,apple
,,
#iPhone 4S in Space http://t.co/jINNHVwz this is amazing #creative @apple your products inspire people to do unbelievable things,positive,apple
,,
Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!,positive,apple
,,
Using my awsome iPad... I love it. I love my MacBook too and my iPod. It's all amazing! I love @apple,positive,apple
,,
@apple iOS 5 upgrade done ...... Much better feature..... Few more feature required,positive,apple
,,
New iOS 5 update is THE BEST. iloveyou @apple,positive,apple
,,
"Finally got my iPhone 4S, thanks @Apple. Stupid @att. Learned my lesson.",positive,apple
,,
"I absolutely love my iPhone 4S. Thank you, Steve and @apple.",positive,apple
,,
@apple - you have invented a product that actually gets my brother to call my parents when he gets where he's going. Amazing. #siri #ipod4s,positive,apple
,,
"dammit, listening to siri is making me want to upgrade. well played @apple.",positive,apple
,,
"Create new folders from within your photo album in #iOS5, finally!! Thanks @Apple, that's been a thorn in my side for a while. #newfeature",positive,apple
,,
@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!,positive,apple
,,
#iOS5 update submitted to @apple! Thanks for all the support!,positive,apple
,,
Awesome service from the @apple store in pc. Thanks chris!,positive,apple
,,
I am crazy about #iOS5 . The photo cropping is the best! @apple,positive,apple
,,
.@apple thanks for fixing this... http://t.co/wTj1ogDO,positive,apple
,,
@apple has changed life.,positive,apple
,,
Mad props to the @apple employee that didn't charge me to replace the back plate on my iPhone! Made my day!,positive,apple
,,
The #iphone4s is  amazing. Siri's voice recognition is absolutely a step above previous attempts. Bravo @apple,positive,apple
,,
#iOs5 is nice and as it had to be ! Thanks @Apple,positive,apple
,,
Good support fm Kevin @apple #Bellevue store 4 biz customers TY!,positive,apple
,,
@Apple: Siri is amazing!!! I'm in love!,positive,apple
,,
Love love love iOS 5!! @apple,positive,apple
,,
RT @cjwallace03: So apparently @apple put MB cap on your SMS with the new update. 25mb storage before it tells you your inbox is full. W ...,negative,apple
,,
"RT @Jewelz2611 @mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
,,
"@mashable @apple, iphones r 2 expensive. Most went w/ htc/galaxy. No customer loyalty w/phone comp..",negative,apple
,,
@apple why my tunes no go on my iPhone? iPhone lonely without them. silly #iOS5,negative,apple
,,
@apple needs to hurry up and release #iTunesMatch,negative,apple
,,
Why is  #Siri always down @apple,negative,apple
,,
I just need to exchange a cord at the apple store why do I have to wait for a genius? @apple,negative,apple
,,
"@apple AirDrop #fail - Immediate ""declined your request."" every time",negative,apple
,,
Yellowgate? Some iPhone 4S Users Complain of Yellow Tint to Screen http://t.co/uaqrxTNk @apple @iphone4s,negative,apple
,,
The one #iphone feature still missing since @apple first showed it.. Contacts pictures on the contacts list! Simple yet 5 major updates miss,negative,apple
,,
Asked siri is she dreams of electric sleep. Was disappointed that she didn't have a snippy answer.  Missed opportunity @apple,negative,apple
,,
FUCK YOU @apple DIE IN A FUCKING BLAZE INFERNO.,negative,apple
,,
"Oh, @apple. Steve obviously had nothing to do with iPhoto, as it's the perfect opposite of 'insanely great'. Get it fixed, please.",negative,apple
,,
